comments,path_to_main,path_to_default_config,whether_to_run,delta:exec_path,delta:kwargs/range,delta:kwargs/mask_generator_type,delta:kwargs/input_folder,delta:kwargs/output,delta:kwargs/model_id,delta:kwargs/model_path,delta:kwargs/num_slots,delta:kwargs/confidence_threshold,delta:kwargs/config_file,status,run_folder,job id,walltime
masks for ImageNet-D background + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/ImageNet-D/background,./data/masks/dino_ft/IN_D_background_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_13:55:24.961486---f46cf2d9ae78bd33b126---538237,Not found,0:03:12.002404
masks for ImageNet-D background + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/ImageNet-D/background,./data/masks/dino_v1/IN_D_background_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_12:23:58.413021---4e18a5a4813b3eee6853---482493,Not found,0:02:57.616954
masks for ImageNet-D background + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/ImageNet-D/background,./data/masks/slotdiffusion/IN_D_background_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_13:47:48.892925---3ac57f5018962266e22c---532324,Not found,0:01:19.661122
masks for ImageNet-D background + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/ImageNet-D/background,./data/masks/cropformer/IN_D_background_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
,,,0,,,,,,,,,,,?,?,?,?
masks for WB group 0 + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/Waterbirds/test_split/group_0,./data/masks/dino_ft/WB_group_0_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_13:58:40.958377---2950793f2876471a8a83---541433,Not found,0:01:29.389948
masks for WB group 0 + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/Waterbirds/test_split/group_0,./data/masks/dino_v1/WB_group_0_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:00:59.154578---44c954c516ca3dad23c8---544649,Not found,0:00:57.020822
masks for WB group 0 + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/Waterbirds/test_split/group_0,./data/masks/slotdiffusion/WB_group_0_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:00:14.292098---f9d0dc552eb7c102cf6f---542914,Not found,0:00:40.968158
masks for WB group 1 + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/Waterbirds/test_split/group_1,./data/masks/dino_ft/WB_group_1_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:02:57.233983---5251b5c57a0e82d0345f---546711,Not found,0:01:29.016019
masks for WB group 1 + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/Waterbirds/test_split/group_1,./data/masks/dino_v1/WB_group_1_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:01:59.978693---27d0a0760c22d8c2788e---546013,Not found,0:00:53.719039
masks for WB group 1 + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/Waterbirds/test_split/group_1,./data/masks/slotdiffusion/WB_group_1_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:04:29.770711---ac83d6495b84634ecadf---547718,Not found,0:00:39.637624
masks for WB group 2 + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/Waterbirds/test_split/group_2,./data/masks/dino_ft/WB_group_2_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:05:12.956121---47af9c64759058f6c32b---548363,Not found,0:00:34.710633
masks for WB group 2 + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/Waterbirds/test_split/group_2,./data/masks/dino_v1/WB_group_2_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:05:51.191642---e2714f792d4a56df9ac7---548694,Not found,0:00:27.467824
masks for WB group 2 + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/Waterbirds/test_split/group_2,./data/masks/slotdiffusion/WB_group_2_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:06:22.202664---e3addb2026df6ae5ddbe---549220,Not found,0:00:21.072946
masks for WB group 3 + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/Waterbirds/test_split/group_3,./data/masks/dino_ft/WB_group_3_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:06:46.802815---48ce8feec3c9369ad141---549556,Not found,0:00:33.947521
masks for WB group 3 + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/Waterbirds/test_split/group_3,./data/masks/dino_v1/WB_group_3_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:07:24.274261---9161510331ea811db9bb---550085,Not found,0:00:25.060030
masks for WB group 3 + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/Waterbirds/test_split/group_3,./data/masks/slotdiffusion/WB_group_3_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:07:52.840994---41cc87288e6f80eb7342---550412,Not found,0:00:21.226509
,,,0,,,,,,,,,,,?,?,?,?
masks for WB group 0 + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/Waterbirds/test_split/group_0,./data/masks/cropformer/WB_group_0_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
masks for WB group 1 + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/Waterbirds/test_split/group_1,./data/masks/cropformer/WB_group_1_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
masks for WB group 2 + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/Waterbirds/test_split/group_2,./data/masks/cropformer/WB_group_2_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
masks for WB group 3 + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/Waterbirds/test_split/group_3,./data/masks/cropformer/WB_group_3_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
,,,0,,,,,,,,,,,?,?,?,?
masks for ImageNet validation,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/ImageNet-val,./data/masks/cropformer/in_val_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
,,,0,,,,,,,,,,,?,?,?,?
masks for UrbanCars + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/UrbanCars/test,./data/masks/dino_ft/UC_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:08:17.590685---adea4e79861f283777e3---550946,Not found,0:00:46.714143
masks for UrbanCars + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/UrbanCars/test,./data/masks/dino_v1/UC_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:09:35.879870---11f9896c3ef6bbd7cb00---551915,Not found,0:00:29.463378
masks for UrbanCars + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/UrbanCars/test,./data/masks/slotdiffusion/UC_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:09:07.835123---dbbdd1b44c7d3f5961d7---551548,Not found,0:00:24.505690
masks for UrbanCars + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/UrbanCars/test,./data/masks/cropformer/UC_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
,,,0,,,,,,,,,,,?,?,?,?
masks for IN-9 + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/ImageNet-9/mixed_rand/val,./data/masks/dino_ft/IN_9_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:10:08.863184---020abbe98d1daa7cb861---552455,Not found,0:02:25.068446
masks for IN-9 + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/ImageNet-9/mixed_rand/val,./data/masks/dino_v1/IN_9_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:12:37.463349---953aaba7357b8d47b5bf---553627,Not found,0:01:22.350242
masks for IN-9 + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/ImageNet-9/mixed_rand/val,./data/masks/slotdiffusion/IN_9_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:14:03.357896---1960a13cd4302c1ed009---554285,Not found,0:00:56.742948
masks for IN-9 + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/ImageNet-9/mixed_rand/val,./data/masks/cropformer/IN_9_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
,,,0,,,,,,,,,,,?,?,?,?
masks for CounterAnimal-common + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/CounterAnimal/common,./data/masks/dino_ft/CA_common_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:15:03.671137---4183b9d9f6166ddcddb1---555132,Not found,0:04:26.494545
masks for CounterAnimal-common + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/CounterAnimal/common,./data/masks/dino_v1/CA_common_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:21:13.754189---405266539f7510241362---558249,Not found,0:02:37.285797
masks for CounterAnimal-common + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/CounterAnimal/common,./data/masks/slotdiffusion/CA_common_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:19:33.723964---19b7713291d0ce28c3b5---557174,Not found,0:01:36.184711
masks for CounterAnimal-common + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/CounterAnimal/common,./data/masks/cropformer/CA_common_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
,,,0,,,,,,,,,,,?,?,?,?
masks for CounterAnimal-counter + FT-Dinosaur,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-ft,./data/datasets/CounterAnimal/counter,./data/masks/dino_ft/CA_counter_masks.pkl,dinosaur_base_patch14_518_topk3.coco_dv2_ft_s7_300k+10k,DEFAULT,5,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:23:54.584475---937354d02e2d881374cb---559440,Not found,0:03:46.100580
masks for CounterAnimal-counter + Dinosaur-v1,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,dino-v1,./data/datasets/CounterAnimal/counter,./data/masks/dino_v1/CA_counter_masks.pkl,DEFAULT,./checkpoints/dinosaur_coco_dino_base16.ckpt,7,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:27:44.247810---6ce11209b87ab0a0541e---561349,Not found,0:02:17.050078
masks for CounterAnimal-counter + SlotDiffusion,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,slotdiffusion,./data/datasets/CounterAnimal/counter,./data/masks/slotdiffusion/CA_counter_masks.pkl,DEFAULT,./checkpoints/sa_ldm_dino_coco_params-res224.pth,DEFAULT,DEFAULT,DEFAULT,Completed,./experiments/mask_generation/2026-06-06_14:30:04.898272---0e0950063ce347669ee5---562644,Not found,0:01:23.110277
masks for CounterAnimal-counter + cropformer,__RUNNER__,./configs/mask_generation/runner_config_mask_generation.yaml,0,./scripts/predict_masks.py,DEFAULT,cropformer,./data/datasets/CounterAnimal/counter,./data/masks/cropformer/CA_counter_masks.pkl,DEFAULT,./checkpoints/CropFormer_hornet_3x_03823a.pth,DEFAULT,0.5,./configs/cropformer/cropformer_hornet.yaml,?,?,?,?
